9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9
9,16,121,121,49,49,49,49,49,16,9,9
9,16,25,100,169,144,144,144,225,100,25,9
9,4,4,16,25,36,36,49,225,81,49,9
9,9,9,9,9,9,9,121,49,81,16,9
9,9,9,9,9,9,25,144,36,64,9,9
9,9,9,9,9,9,64,64,81,16,9,9
9,9,9,9,9,49,144,25,64,9,9,9
9,9,9,9,16,144,16,81,16,9,9,9
9,9,9,9,121,81,64,25,9,9,9,9
9,9,9,9,121,121,64,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9
9,16,9,36,16,1,1,1,1,4,16,9
9,9,49,196,144,256,256,256,225,81,36,9
9,16,9,4,1,0,0,1,4,81,0,9
9,9,9,9,9,9,9,16,121,49,1,9
9,9,9,9,9,9,36,64,196,9,9,9
9,9,9,9,9,9,9,100,36,1,9,9
9,9,9,9,9,16,36,196,9,9,9,9
9,9,9,9,16,16,324,4,1,9,9,9
9,9,9,9,16,81,36,4,9,9,9,9
9,9,9,9,64,225,16,9,9,9,9,9
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,9,196,289,169,121,121,121,121,36,1,1
1,9,1,0,36,144,144,144,289,121,9,1
1,0,64,169,256,400,400,324,36,81,9,1
1,1,1,1,1,1,1,169,9,49,4,1
1,1,1,1,1,1,36,169,49,25,1,1
1,1,1,1,1,1,81,1,81,4,1,1
1,1,1,1,1,81,289,25,25,1,1,1
1,1,1,1,9,169,16,100,4,1,1,1
1,1,1,1,169,36,81,16,1,1,1,1
1,1,1,1,81,4,25,1,1,1,1,1
9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9
9,36,289,100,9,81,81,81,81,9,1,9
9,36,49,16,9,1,1,1,49,16,49,9
9,4,4,4,36,100,100,49,36,361,36,9
9,9,9,9,9,9,9,289,16,400,4,9
9,9,9,9,9,9,64,400,441,64,9,9
9,9,9,9,9,9,256,16,441,4,9,9
9,9,9,9,9,121,400,324,64,9,9,9
9,9,9,9,36,441,100,256,4,9,9,9
9,9,9,9,289,49,529,0,9,9,9,9
9,9,9,9,361,64,256,9,9,9,9,9
25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25
25,9,1,4,1,4,4,4,4,25,36,25
25,16,1,16,16,25,25,25,64,4,25,25
25,25,9,9,1,1,1,1,36,1,36,25
25,25,25,25,25,25,25,1,36,1,49,25
25,25,25,25,25,25,4,36,16,36,25,25
25,25,25,25,25,25,1,36,4,49,25,25
25,25,25,25,25,1,25,9,36,25,25,25
25,25,25,25,9,9,25,4,49,25,25,25
25,25,25,25,1,49,0,49,25,25,25,25
25,25,25,25,25,81,25,25,25,25,25,25
9,9,9,36,64,144,121,16,9,9,9,9
9,9,25,196,121,169,289,100,25,9,9,9
9,9,25,64,49,81,256,121,36,9,9,9
9,9,4,9,49,81,121,81,49,9,9,9
9,9,9,9,49,169,81,100,16,9,9,9
9,9,9,16,169,121,64,64,9,9,9,9
9,9,9,64,144,100,81,16,9,9,9,9
9,9,25,169,100,81,49,9,9,9,9,9
9,9,36,169,144,169,64,49,49,64,144,100
9,9,16,100,289,256,256,225,144,144,144,64
9,9,4,9,36,64,64,81,64,36,36,36
9,9,9,9,9,1,9,25,25,9,9,9
9,9,9,4,4,25,36,25,16,9,9,9
9,9,36,64,225,361,289,36,4,9,9,9
9,9,16,144,49,0,9,100,16,9,9,9
9,9,9,36,9,9,64,81,9,9,9,9
9,9,9,9,16,49,256,25,1,9,9,9
9,9,9,16,25,225,49,9,9,9,9,9
9,9,9,16,81,169,0,4,9,9,9,9
9,9,36,64,256,36,9,9,9,9,9,9
9,9,25,144,64,36,0,1,1,9,25,25
9,9,25,169,144,169,169,169,256,225,256,196
9,9,9,25,0,9,49,36,4,0,1,9
9,9,9,9,9,16,0,4,1,9,9,9
1,1,1,36,196,361,324,64,1,1,1,1
1,1,36,400,225,49,100,64,16,1,1,1
1,1,16,4,361,324,16,9,4,1,1,1
1,1,4,121,100,100,100,49,9,1,1,1
1,1,1,1,81,361,4,100,4,1,1,1
1,1,1,9,225,36,196,36,1,1,1,1
1,1,1,121,144,36,100,0,1,1,1,1
1,1,36,289,0,225,16,1,1,1,1,1
1,1,36,81,16,1,100,121,121,196,361,256
1,1,9,9,0,196,484,400,196,100,16,25
1,1,4,169,400,289,361,441,441,400,324,196
1,1,1,1,1,16,100,100,4,1,1,1
9,9,9,81,169,225,49,9,1,9,9,9
9,9,64,529,25,9,1,64,25,9,9,9
9,9,100,25,529,81,81,169,64,9,9,9
9,9,16,36,25,196,225,576,25,9,9,9
9,9,9,9,121,529,81,441,4,9,9,9
9,9,9,36,576,4,729,25,9,9,9,9
9,9,9,196,324,441,225,9,9,9,9,9
