381277400999,275301189736,-528479980474,529756228199,357127373921,204300847429,122228150217,529717709519,92122684713,-203922902619,
-291799884976,381457868892,-347060935715,320835984583,146666008759,-354218484531,421907821219,296038318045,-45762478730,221506354425,
-141272322496,534352005600,-513906372050,356275372857,-497217934555,-212880487831,40745071017,446603553327,387686989475,-118315262306,
-329534703857,-453975027573,-299293829125,-223209061966,-486170348022,-67651051449,92552612087,192325471397,-326057252480,30215800029,
222110183701,-351498522590,-281480179971,525635158357,-452511592816,458702983308,460935913503,-444757603150,-159872217845,135201023410,
-74105490755,-529457249145,-253192805534,246801135009,169717886911,-53710302411,-324916808016,212208415714,232448657812,-308218331698,
490597802398,462942131673,406186823017,43432626588,414374513352,428560754083,-278201698127,-280133140091,163879793810,-492873413320,
94337707920,120709447204,-45214384435,474574899619,-382120843492,367988021603,-131736186797,-236117566958,380759905512,-301899540095,
546765049390,-110271175261,-393456557323,-140330554356,224979499814,295287238624,-181217423760,-542728433224,408263888254,165881372086,
113563289421,-116328988031,-491343380961,403496806409,338493380284,212566730846,-393042848255,-263905180232,204901677340,540382709462,
