-252466129097,349078274210,-2506994282,393907690581,-531031419136,413860949490,399253157517,295557594832,-129297799806,141217368775,
-548737655181,114860872982,169960774201,-303942334712,138020824932,271228802481,-67701398244,-382286096724,352277691216,55850630083,
45681038899,474159689033,42596794276,108336424001,40138518483,-227870501842,-506044561267,-128206860887,350618245782,470941999365,
488670327341,400610467547,-272660997852,-164201366046,-534028797566,377885594383,-392351193716,445742094179,115722776633,243782372291,
238343358478,150760639483,-495889681989,-128707350257,32413260767,474214757068,307563070893,-199496758750,-202204777673,105832693513,
473250007912,-39198653576,520023144675,-521641352502,-206096006849,-438425037433,510138348638,273874151482,-237022375010,-67030233732,
20039725695,-201130029993,-300398276132,459192892880,153766106716,-450843135630,514470456651,236173976652,330569249287,80791418130,
192871298045,-336751819797,-522177255560,-408294705599,-43585948071,-451479804889,282649106755,-290341036194,324883748294,470475655817,
-156706024351,-521117853731,-310783263914,142900764117,-405462875586,-385583800,-259568214339,245995075688,309203839375,-271693063613,
384210592721,-269199807417,357871385379,216528986273,-148371841528,53559238668,-297968983072,-359212037065,-256162114382,537293273506,
